Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Argentina,ARG,Consumer price index (2010 = 100),FP.CPI.TOTL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,Real interest rate (%),FR.INR.RINR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-8.56602872006595,-7.77340523607891,-6.74819555440488,-5.48583918237899,-11.6006987702161,-1.31470878459509,-7.00603984304116,0.455892832330463,4.56440909873515,12.1039696489828,-7.63517421630372,-11.8838163710548,-10.0737286927016,-16.2272161134432
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3727.04801015838,3787.47067903083,2919.28351130562,3454.2963342861,3492.69147434324,4005.20125846019,2382.33586178721,4330.96819128783,5730.72380988423,6815.32932969825,6957.41749889251,7464.4747368819,7383.70450960064,7690.15700254783,8176.77119517435,8250.67317414321,7735.32208018486,7666.51783423783,7168.97587232911,2579.48876933284,3333.15290388997,4258.16026060875,5086.62776073134,5890.97800169795,7210.59554755899,8977.50685093365,8184.38988923991,10385.9644319555,12848.7391514568,13082.664325572,13080.2547323367,12334.7982453893,13789.060424772,12790.2641396135,14613.0356486571,11795.1627452798,9963.67416171662,8500.83793850534,10650.8604604345,13650.6046294524,13730.5147090247
Australia,AUS,Consumer price index (2010 = 100),FP.CPI.TOTL,7.96045785639958,8.14255983350676,8.11654526534859,8.16857440166493,8.40270551508845,8.6888657648283,8.97502601456816,9.28720083246618,9.5213319458897,9.83350676378772,10.1716961498439,10.79604578564,11.4464099895942,12.4869927159209,14.4120707596254,16.5972944849116,18.8085327783559,21.1238293444329,22.8147762747138,24.8959417273673,27.4193548387097,30.0208116545265,33.4287200832466,36.7845993756504,38.2414151925078,40.8168574401665,44.5109261186264,48.309053069719,51.7950052029136,55.6971904266389,59.7814776274714,61.6805411030177,62.3048907388137,63.3975026014568,64.6462018730489,67.6378772112383,69.4068678459938,69.5629552549428,70.1612903225807,71.2018730489074,74.375650364204,77.6534859521332,79.9687825182102,82.1540062434964,84.0790842872008,86.3423517169615,89.4120707596254,91.4932362122789,95.4734651404787,97.1644120707596,100,103.303850156087,105.124869927159,107.700312174818,110.379812695109,112.044745057232,113.475546305931,115.686784599376,117.89802289282,119.797086368366,120.811654526535,124.271592091571,132.466181061394,139.880332986472
Australia,AUS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,3.72881355932203,2.28758169934641,-0.319488817891379,0.641025641025652,2.86624203821656,3.40557275541795,3.29341317365269,3.47826086956522,2.52100840336134,3.27868852459016,3.43915343915341,6.13810741687984,6.02409638554213,9.09090909090915,15.4166666666666,15.1624548736462,13.3228840125392,12.3098201936376,8.0049261083744,9.12200684150515,10.1358411703239,9.48766603415561,11.3518197573657,10.0389105058366,3.96039603960396,6.734693877551,9.05035054174634,8.53302162478083,7.21593968766828,7.53390256152688,7.33302195235872,3.17667536988685,1.01223112610714,1.75365344467641,1.96963479688141,4.62776659959759,2.61538461538461,0.224887556221887,0.860134629768142,1.48312940304041,4.45743514797224,4.40713536201469,2.98157453936348,2.73259596616786,2.34325522482583,2.69183168316832,3.55528773727026,2.32761128891476,4.35029854990048,1.77111716621254,2.91834002677376,3.3038501560874,1.76278015613196,2.4498886414254,2.48792270531404,1.50836672165921,1.27699094497324,1.94864740944527,1.91140094445691,1.61076787290379,0.846905537459305,2.86391042204994,6.59409671341846,5.5970149253731
Australia,AUS,Real interest rate (%),FR.INR.RINR,..,2.20687630824645,5.57978872976952,3.27616686513296,1.72793752295935,2.26516405481221,2.62076587225935,0.483660437121897,3.25735644227312,1.07090883117849,1.68706263849002,1.96197957731489,0.78328849687972,-1.50351417773288,-6.01913182453814,-5.33823702457957,-3.59852635548445,-1.38456829639648,1.05090973121306,0.452319131583852,-0.034155469522268,2.10750797657351,1.41679528122806,2.05001023610124,3.37215131973244,7.39025865871911,7.93209409649117,7.5272786940245,6.44108972053912,6.61926385768692,9.67270856641165,10.0928694000248,8.97038290484152,8.47378114303393,7.98605796893548,8.02284437211133,6.83251279377306,5.81974300561342,5.48543427915609,6.06244473002337,5.03742396513488,2.11309686499572,3.42491500912025,3.521734658531,3.69820160551374,3.30633987264258,2.37559056746734,3.05741147567609,4.14891312869202,1.02113496523665,6.05753361383446,1.44573545489461,5.07816669856092,6.35335379636719,4.48213765898823,6.2367714233312,6.11671694146131,1.53810731236317,3.31965291300746,1.58246506184137,..,..,..,..
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,1810.59744278609,1877.600224102,1854.64189048688,1967.10899053653,2131.38029982805,2281.01195611049,2343.81978965369,2580.11059164641,2724.1306715175,2991.38594710418,3304.83781989103,3495.14162747651,3949.37298705831,4770.61865788766,6482.83108182526,7003.74417971953,7486.59278090393,7775.49682097168,8252.65590400684,9294.35924726014,10208.6520092795,11853.5138178392,12778.9279166426,11515.6229187212,12421.4738665585,11441.1933019722,11391.6550473244,11650.8011879489,14284.5206885373,17834.2105593225,18248.9407092421,18859.4079561383,18623.7917363989,17699.5577392784,18129.4021863239,20448.1219685874,22021.7839065228,23646.6230457327,21479.1142020092,20712.6697805564,21870.4159669594,19695.7297379144,20301.8431713256,23718.1338501868,30836.7306824685,34479.7679298388,36595.7071548423,41051.6120652288,49701.2817843335,42816.5674002829,52147.0241942843,62609.6607161044,68078.0442283168,68198.4193446869,62558.2438786332,56758.8692027821,49918.7939327254,53954.553494614,57273.5204750079,55049.571919719,51868.2475567823,60697.2454358579,65077.676668821,64711.7656030565
Brazil,BRA,Consumer price index (2010 = 100),FP.CPI.TOTL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.57203995820629E-10,7.20570021177795E-10,1.44505532582099E-09,3.39628003922508E-09,9.92127211260218E-09,3.2342321744633E-08,7.99317280305452E-08,2.62444768495788E-07,1.91352288553154E-06,2.92907487949526E-05,0.000892703750329439,0.00475620651227255,0.0500334876739342,1.01436931774855,22.0715442934335,36.6403159411409,42.4139744020249,45.3518684755867,46.8008952735922,49.0746921995341,52.5315827425714,56.1249316036126,60.8675805806435,69.8241962003047,74.430627668128,79.5436673306746,82.8714308457339,85.8890058743968,90.7662937251916,95.202981748031,100,106.636449622131,112.398549260784,119.372104441451,126.927212865611,138.388614560102,150.482594206408,155.668786230018,161.373814183906,167.397860280061,172.774291252888,187.117425058296,204.482120615775,213.87513528772
Brazil,BRA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,101.725072957927,100.54335919485,135.027682230473,192.121733132051,225.989665211895,147.142826237604,228.336162575513,629.114509120897,1430.7237251472,2947.732772483,432.786661926461,951.962053052818,1927.38079016026,2075.88839757325,66.0070335542481,15.7576656002606,6.92671251629154,3.19507629280052,4.85844749902667,7.04414105947266,6.84035902487523,8.45016437708331,14.7149197228147,6.59718509985963,6.86953720898964,4.18356812896909,3.64127299102652,5.67859390284168,4.88803479876799,5.03872690108075,6.6364496221309,5.40349914036997,6.20431066640101,6.32904015516139,9.02990102416136,8.73914352329393,3.44637335032669,3.66485028376729,3.73297621216894,3.21176803803376,8.30165975585673,9.28010608956873,4.59356282283204
